Resort,HPpoints,HPpos,state_data,region_data,elevation_top_m,number_of_slopes,annual_snowfall_cm,Price,Beginner slopes,Intermediate slopes,Difficult slopes,Nightskiing,Summer skiing
Park City,0.18,213.0,Utah,Rocky Mountain,3048.0,213.0,900.0,97.0,27.0,152.0,71.0,Yes,No
Park City,52.1,43.0,Utah,Rocky Mountain,3048.0,213.0,900.0,97.0,27.0,152.0,71.0,Yes,No
Beaver Creek,123.5,40.0,Colorado,Rocky Mountain,3488.0,47.0,752.0,141.0,28.0,64.0,57.0,No,No
Beaver Creek,41.45,66.0,Colorado,Rocky Mountain,3488.0,47.0,752.0,141.0,28.0,64.0,57.0,No,No
Beaver Creek,1.68,167.0,Colorado,Rocky Mountain,3488.0,47.0,752.0,141.0,28.0,64.0,57.0,No,No
Beaver Creek,26.0,57.0,Colorado,Rocky Mountain,3488.0,47.0,752.0,141.0,28.0,64.0,57.0,No,No
Beaver Creek,3.54,148.0,Colorado,Rocky Mountain,3488.0,47.0,752.0,141.0,28.0,64.0,57.0,No,No
Beaver Creek,2.13,162.0,Colorado,Rocky Mountain,3488.0,47.0,752.0,141.0,28.0,64.0,57.0,No,No
Beaver Creek,0.78,186.0,Colorado,Rocky Mountain,3488.0,47.0,752.0,141.0,28.0,64.0,57.0,No,No
Beaver Creek,1.05,178.0,Colorado,Rocky Mountain,3488.0,47.0,752.0,141.0,28.0,64.0,57.0,No,No
Beaver Creek,32.4,52.0,Colorado,Rocky Mountain,3488.0,47.0,752.0,141.0,28.0,64.0,57.0,No,No
Beaver Creek,108.85,26.0,Colorado,Rocky Mountain,3488.0,47.0,752.0,141.0,28.0,64.0,57.0,No,No
Beaver Creek,2.68,155.0,Colorado,Rocky Mountain,3488.0,47.0,752.0,141.0,28.0,64.0,57.0,No,No
Sun Valley Resort,4.8,139.0,Idaho,Pacific Northwest,1560.0,3.0,400.0,107.0,35.0,40.0,17.0,No,No
Sun Valley Resort,2.3,160.0,Idaho,Pacific Northwest,1560.0,3.0,400.0,107.0,35.0,40.0,17.0,No,No
Sun Valley Resort,0.12,216.0,Idaho,Pacific Northwest,1560.0,3.0,400.0,107.0,35.0,40.0,17.0,No,No
Sun Valley Resort,0.06,226.0,Idaho,Pacific Northwest,1560.0,3.0,400.0,107.0,35.0,40.0,17.0,No,No
Copper Mountain,5.2,136.0,Colorado,Rocky Mountain,3792.0,126.0,625.0,89.0,30.0,40.0,56.0,No,No
Copper Mountain,1.26,174.0,Colorado,Rocky Mountain,3792.0,126.0,625.0,89.0,30.0,40.0,56.0,No,No
Copper Mountain,2.22,95.0,Colorado,Rocky Mountain,3792.0,126.0,625.0,89.0,30.0,40.0,56.0,No,No
