Competitorid,Competitorname,Gender,Nationcode,Skiclub,HPpoints,HPpos
256562,SMITH Zoe,W,USA,Park City Ski and Snowboard,18.25,67.0
266918,PECK Jayden,M,USA,Mammoth Mountain Ski and Snowboard Team,18.15,98.0
267449,BRULAND Isla,W,USA,Mammoth Mountain Ski and Snowboard Team,18.0,68.0
274651,GEISER Luke,M,USA,Aspen Valley Ski and Snowboard Club,17.75,100.0
265648,PARHAM Logan,M,USA,Vail Development Team,16.44,104.0
272556,JOHNSON Piper,W,USA,Mt Bachelor Ski Education Foundation,15.7,71.0
254432,KAZIENKO Katarina,W,USA,Park City Ski and Snowboard,15.57,72.0
264722,HIGASHI Gavin,M,USA,Mammoth Mountain Ski and Snowboard Team,13.1,113.0
246514,DEROSIER Ellie,W,USA,Park City Ski and Snowboard,11.5,78.0
283112,SHAYS Kai,M,USA,Mt Bachelor Ski Education Foundation,9.9,117.0
266515,ANDREWS Eleanor,W,USA,Killington Mountain School,8.95,80.0
267379,PEDERSON Quinlan,M,USA,Northstar Ski and Snowboard Team,8.2,123.0
274551,SVITANA Joseph,M,USA,Olympic Valley Freestyle Freeride Team,8.2,124.0
268037,CARTER Taylor,W,USA,Telluride Ski and Snowboard Club,7.5,82.0
283296,VINCENT Samuel,M,USA,Okemo Mountain School,5.34,137.0
265594,ABBEY Ethan,M,USA,Team Summit Colorado,5.2,139.0
273560,MOORE Siena,W,USA,Mt Bachelor Ski Education Foundation,5.05,89.0
281804,BEYER Barrett,M,USA,Sun Valley Ski Education Fnd,4.8,142.0
280137,MEYENBURG Adelyn,W,USA,Okemo Mountain School,4.68,90.0
283084,ROSENBERG Jaxon,M,USA,Park City Ski and Snowboard,4.5,144.0
273310,SAVI Nicolas,M,USA,Aspen Valley Ski and Snowboard Club,3.85,148.0
272639,HARRINGTON Mac,M,USA,Ski and Snowboard Club Vail,3.54,152.0
265733,LOVELESS Max,M,USA,Ski and Snowboard Club Vail,2.68,159.0
280323,RYAN Cooper,M,USA,Killington Mountain School,2.58,160.0
281481,CRIST Emmett,M,USA,Sun Valley Ski Education Fnd,2.3,163.0
272311,CUSHMAN Isabella,W,USA,Team Summit Colorado,2.22,96.0
283711,HICKEY Evelyn,W,USA,Okemo Mountain School,2.22,95.0
256943,HARRIS Colin,M,USA,Ski and Snowboard Club Vail,2.13,165.0
213005,HENDERSON Hunter,M,USA,Waterville Valley Bbts,2.0,166.0
272640,DEUX Adrian,M,USA,Ski and Snowboard Club Vail,1.68,169.0
282011,BURNETT Campbell,M,USA,Team Summit Colorado,1.26,176.0
258086,JAERBYN Erik,M,USA,Ski and Snowboard Club Vail,1.05,179.0
251547,PAINTER Emile,M,USA,Mammoth Mountain Ski and Snowboard Team,0.94,181.0
265570,STRACHAN Mateo,M,USA,Team Summit Colorado,0.78,187.0
265731,HASSELMAN Ricky,M,USA,Ski and Snowboard Club Vail,0.78,187.0
281665,RUSSELL Brecken,M,USA,Park City Ski and Snowboard,0.48,197.0
267079,BECK Tucker,M,USA,WyEast Mountain Academy,0.26,208.0
245890,TOWNSHEND Henry,M,USA,Park City Ski and Snowboard,0.18,214.0
257799,HOLTER Anton,M,USA,Sun Valley Ski Education Fnd,0.12,217.0
258091,PILARO Zeppelin,M,USA,Sun Valley Ski Education Fnd,0.06,227.0
273799,LISKEY Chloe,W,USA,Mammoth Mountain Ski and Snowboard Team,0.06,116.0
222468,KANZLER James,M,USA,Park City Ski and Snowboard,0.01,242.0
178235,STEVENS Darian,W,USA,Missoula Freestyle Ski Team,0.01,120.0
